strategy,amount_mxn,horizon_days,rate_shock_bp,gross_interest_mxn,isr_withheld_mxn,net_return_mxn,effective_net_rate,exempt_eligible_balance_mxn,taxable_balance_mxn,fully_protected,needs_conditions,is_default_amount
"F. Split, including Mercado Pago",300000,90,50,9345.21,532.6,8812.6,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,180,0,10726.03,381.82,10344.21,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,180,0,9616.44,381.82,9234.62,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,180,0,10223.01,1331.51,8891.51,0.0601,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,180,0,14794.52,381.82,14412.7,0.09742,300000,86026.8,no,no,no
"E. Split, protected products only",300000,180,0,17827.4,1065.21,16762.19,0.1133,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,180,0,18690.41,1065.21,17625.21,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,180,50,10356.16,381.82,9974.35,0.06742,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,180,50,9246.58,381.82,8864.76,0.05992,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,180,50,10223.01,1331.51,8891.51,0.0601,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,180,50,14794.52,381.82,14412.7,0.09742,300000,86026.8,no,no,no
"E. Split, protected products only",300000,180,50,17457.53,1065.21,16392.33,0.1108,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,180,50,18320.55,1065.21,17255.34,0.11663,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,365,0,21750.0,774.24,20975.76,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,365,0,19500.0,774.24,18725.76,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,365,0,21720.0,2700.0,19020.0,0.0634,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,365,0,26070.0,774.24,25295.76,0.08432,300000,86026.8,no,no,no
"E. Split, protected products only",300000,365,0,36150.0,2160.0,33990.0,0.1133,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,365,0,37900.0,2160.0,35740.0,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,365,50,20619.86,774.24,19845.62,0.06615,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,365,50,18369.86,774.24,17595.62,0.05865,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,365,50,21720.0,2700.0,19020.0,0.0634,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,365,50,26070.0,774.24,25295.76,0.08432,300000,86026.8,no,no,no
"E. Split, protected products only",300000,365,50,35019.86,2160.0,32859.86,0.10953,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,365,50,36769.86,2160.0,34609.86,0.11537,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,30,0,2979.45,211.58,2767.87,0.06735,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,30,0,2671.23,211.58,2459.65,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,30,0,2527.4,369.86,2157.53,0.0525,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,30,0,2954.79,211.58,2743.21,0.06675,500000,286026.8,no,no,no
"E. Split, protected products only",500000,30,0,4615.07,325.48,4289.59,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,30,0,4758.9,325.48,4433.42,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,30,50,2979.45,211.58,2767.87,0.06735,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,30,50,2671.23,211.58,2459.65,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,30,50,2527.4,369.86,2157.53,0.0525,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,30,50,2954.79,211.58,2743.21,0.06675,500000,286026.8,no,no,no
"E. Split, protected products only",500000,30,50,4615.07,325.48,4289.59,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,30,50,4758.9,325.48,4433.42,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,90,0,8938.36,634.74,8303.61,0.06735,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,90,0,8013.7,634.74,7378.95,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,90,0,8124.66,1109.59,7015.07,0.0569,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,90,0,13561.64,634.74,12926.9,0.10485,500000,286026.8,no,no,no
"E. Split, protected products only",500000,90,0,13845.21,976.44,12868.77,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,90,0,14276.71,976.44,13300.27,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,90,50,8938.36,634.74,8303.61,0.06735,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,90,50,8013.7,634.74,7378.95,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,90,50,8124.66,1109.59,7015.07,0.0569,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,90,50,13561.64,634.74,12926.9,0.10485,500000,286026.8,no,no,no
"E. Split, protected products only",500000,90,50,13845.21,976.44,12868.77,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,90,50,14276.71,976.44,13300.27,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,180,0,17876.71,1269.49,16607.22,0.06735,500000,286026.8,no,no,no
