strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
"E. Split, protected products only",300000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",300000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",300000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",300000,30,0,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"E. Split, protected products only",300000,30,0,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"E. Split, protected products only",300000,30,0,Mifel,Bank,Cuenta Digital,0,0.1,155000,1273.97
"F. Split, including Mercado Pago",300000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",300000,30,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",300000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,0,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"F. Split, including Mercado Pago",300000,30,0,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"F. Split, including Mercado Pago",300000,30,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,246.58
"F. Split, including Mercado Pago",300000,30,0,Mifel,Bank,Cuenta Digital,0,0.1,105000,863.01
A. All in Stori on demand (SOFIPO),300000,30,50,Stori,SOFIPO,On demand,0,0.0725,300000,1787.67
B. All in Nu Cajita (bank),300000,30,50,Nu,Bank,Cajita (on demand),0,0.065,300000,1602.74
C. All in CETES (GBM),300000,30,50,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,300000,1516.44
D. All in best SOFIPO fixed term,300000,30,50,Finsus,SOFIPO,Fixed term 30d,30,0.0719,300000,1772.88
"E. Split, protected products only",300000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",300000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",300000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",300000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",300000,30,50,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"E. Split, protected products only",300000,30,50,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"E. Split, protected products only",300000,30,50,Mifel,Bank,Cuenta Digital,0,0.1,155000,1273.97
"F. Split, including Mercado Pago",300000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",300000,30,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",300000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"F. Split, including Mercado Pago",300000,30,50,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"F. Split, including Mercado Pago",300000,30,50,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"F. Split, including Mercado Pago",300000,30,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,246.58
"F. Split, including Mercado Pago",300000,30,50,Mifel,Bank,Cuenta Digital,0,0.1,105000,863.01
A. All in Stori on demand (SOFIPO),300000,90,0,Stori,SOFIPO,On demand,0,0.0725,300000,5363.01
B. All in Nu Cajita (bank),300000,90,0,Nu,Bank,Cajita (on demand),0,0.065,300000,4808.22
C. All in CETES (GBM),300000,90,0,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,300000,4874.79
