strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
"E. Split, protected products only",300000,365,50,DiDi,SOFIPO,On demand,0,0.15,10000,1462.33
"E. Split, protected products only",300000,365,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3655.82
"E. Split, protected products only",300000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"E. Split, protected products only",300000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"E. Split, protected products only",300000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,155000,14916.1
"F. Split, including Mercado Pago",300000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",300000,365,50,Ualá,Bank,On demand (Plus),0,0.15,30000,4386.99
"F. Split, including Mercado Pago",300000,365,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,3655.82
"F. Split, including Mercado Pago",300000,365,50,DiDi,SOFIPO,On demand,0,0.15,10000,1462.33
"F. Split, including Mercado Pago",300000,365,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",300000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"F. Split, including Mercado Pago",300000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"F. Split, including Mercado Pago",300000,365,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,2905.82
"F. Split, including Mercado Pago",300000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,105000,10104.45
A. All in Stori on demand (SOFIPO),500000,30,0,Stori,SOFIPO,On demand,0,0.0725,500000,2979.45
B. All in Nu Cajita (bank),500000,30,0,Nu,Bank,Cajita (on demand),0,0.065,500000,2671.23
C. All in CETES (GBM),500000,30,0,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,500000,2527.4
D. All in best SOFIPO fixed term,500000,30,0,Finsus,SOFIPO,Fixed term 30d,30,0.0719,500000,2954.79
"E. Split, protected products only",500000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",500000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",500000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",500000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",500000,30,0,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"E. Split, protected products only",500000,30,0,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"E. Split, protected products only",500000,30,0,Mifel,Bank,Cuenta Digital,0,0.1,355000,2917.81
"F. Split, including Mercado Pago",500000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",500000,30,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",500000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,0,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"F. Split, including Mercado Pago",500000,30,0,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"F. Split, including Mercado Pago",500000,30,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,246.58
"F. Split, including Mercado Pago",500000,30,0,Mifel,Bank,Cuenta Digital,0,0.1,305000,2506.85
A. All in Stori on demand (SOFIPO),500000,30,50,Stori,SOFIPO,On demand,0,0.0725,500000,2979.45
B. All in Nu Cajita (bank),500000,30,50,Nu,Bank,Cajita (on demand),0,0.065,500000,2671.23
C. All in CETES (GBM),500000,30,50,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,500000,2527.4
D. All in best SOFIPO fixed term,500000,30,50,Finsus,SOFIPO,Fixed term 30d,30,0.0719,500000,2954.79
"E. Split, protected products only",500000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",500000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",500000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",500000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",500000,30,50,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"E. Split, protected products only",500000,30,50,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"E. Split, protected products only",500000,30,50,Mifel,Bank,Cuenta Digital,0,0.1,355000,2917.81
"F. Split, including Mercado Pago",500000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",500000,30,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",500000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"F. Split, including Mercado Pago",500000,30,50,Nu,Bank,Cajita Turbo,0,0.13,25000,267.12
"F. Split, including Mercado Pago",500000,30,50,Openbank,Bank,Apartados Open,0,0.13,30000,320.55
"F. Split, including Mercado Pago",500000,30,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,246.58
"F. Split, including Mercado Pago",500000,30,50,Mifel,Bank,Cuenta Digital,0,0.1,305000,2506.85
A. All in Stori on demand (SOFIPO),500000,90,0,Stori,SOFIPO,On demand,0,0.0725,500000,8938.36
B. All in Nu Cajita (bank),500000,90,0,Nu,Bank,Cajita (on demand),0,0.065,500000,8013.7
C. All in CETES (GBM),500000,90,0,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,500000,8124.66
D. All in best SOFIPO fixed term,500000,90,0,Stori,SOFIPO,Fixed term 90d,90,0.11,500000,13561.64
"E. Split, protected products only",500000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",500000,90,0,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"E. Split, protected products only",500000,90,0,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"E. Split, protected products only",500000,90,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"E. Split, protected products only",500000,90,0,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"E. Split, protected products only",500000,90,0,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"E. Split, protected products only",500000,90,0,Mifel,Bank,Cuenta Digital,0,0.1,355000,8753.42
"F. Split, including Mercado Pago",500000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,0,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"F. Split, including Mercado Pago",500000,90,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,0,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"F. Split, including Mercado Pago",500000,90,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,0,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"F. Split, including Mercado Pago",500000,90,0,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"F. Split, including Mercado Pago",500000,90,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,739.73
"F. Split, including Mercado Pago",500000,90,0,Mifel,Bank,Cuenta Digital,0,0.1,305000,7520.55
A. All in Stori on demand (SOFIPO),500000,90,50,Stori,SOFIPO,On demand,0,0.0725,500000,8938.36
B. All in Nu Cajita (bank),500000,90,50,Nu,Bank,Cajita (on demand),0,0.065,500000,8013.7
C. All in CETES (GBM),500000,90,50,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,500000,8124.66
D. All in best SOFIPO fixed term,500000,90,50,Stori,SOFIPO,Fixed term 90d,90,0.11,500000,13561.64
"E. Split, protected products only",500000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",500000,90,50,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"E. Split, protected products only",500000,90,50,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"E. Split, protected products only",500000,90,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"E. Split, protected products only",500000,90,50,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"E. Split, protected products only",500000,90,50,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"E. Split, protected products only",500000,90,50,Mifel,Bank,Cuenta Digital,0,0.1,355000,8753.42
"F. Split, including Mercado Pago",500000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,50,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"F. Split, including Mercado Pago",500000,90,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,50,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"F. Split, including Mercado Pago",500000,90,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"F. Split, including Mercado Pago",500000,90,50,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"F. Split, including Mercado Pago",500000,90,50,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"F. Split, including Mercado Pago",500000,90,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,739.73
"F. Split, including Mercado Pago",500000,90,50,Mifel,Bank,Cuenta Digital,0,0.1,305000,7520.55
A. All in Stori on demand (SOFIPO),500000,180,0,Stori,SOFIPO,On demand,0,0.0725,500000,17876.71
B. All in Nu Cajita (bank),500000,180,0,Nu,Bank,Cajita (on demand),0,0.065,500000,16027.4
C. All in CETES (GBM),500000,180,0,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,500000,17038.36
D. All in best SOFIPO fixed term,500000,180,0,Stori,SOFIPO,Fixed term 180d,180,0.1,500000,24657.53
"E. Split, protected products only",500000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
"E. Split, protected products only",500000,180,0,Ualá,Bank,On demand (Plus),0,0.15,30000,2219.18
"E. Split, protected products only",500000,180,0,DiDi,SOFIPO,On demand,0,0.15,10000,739.73
"E. Split, protected products only",500000,180,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1849.32
"E. Split, protected products only",500000,180,0,Nu,Bank,Cajita Turbo,0,0.13,25000,1602.74
"E. Split, protected products only",500000,180,0,Openbank,Bank,Apartados Open,0,0.13,30000,1923.29
"E. Split, protected products only",500000,180,0,Mifel,Bank,Cuenta Digital,0,0.1,355000,17506.85
"F. Split, including Mercado Pago",500000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",500000,180,0,Ualá,Bank,On demand (Plus),0,0.15,30000,2219.18
"F. Split, including Mercado Pago",500000,180,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,1849.32
"F. Split, including Mercado Pago",500000,180,0,DiDi,SOFIPO,On demand,0,0.15,10000,739.73
"F. Split, including Mercado Pago",500000,180,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",500000,180,0,Nu,Bank,Cajita Turbo,0,0.13,25000,1602.74
"F. Split, including Mercado Pago",500000,180,0,Openbank,Bank,Apartados Open,0,0.13,30000,1923.29
"F. Split, including Mercado Pago",500000,180,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,1479.45
"F. Split, including Mercado Pago",500000,180,0,Mifel,Bank,Cuenta Digital,0,0.1,305000,15041.1
A. All in Stori on demand (SOFIPO),500000,180,50,Stori,SOFIPO,On demand,0,0.0725,500000,17260.27
B. All in Nu Cajita (bank),500000,180,50,Nu,Bank,Cajita (on demand),0,0.065,500000,15410.96
C. All in CETES (GBM),500000,180,50,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,500000,17038.36
D. All in best SOFIPO fixed term,500000,180,50,Stori,SOFIPO,Fixed term 180d,180,0.1,500000,24657.53
"E. Split, protected products only",500000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"E. Split, protected products only",500000,180,50,Ualá,Bank,On demand (Plus),0,0.15,30000,2182.19
"E. Split, protected products only",500000,180,50,DiDi,SOFIPO,On demand,0,0.15,10000,727.4
"E. Split, protected products only",500000,180,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1818.49
"E. Split, protected products only",500000,180,50,Nu,Bank,Cajita Turbo,0,0.13,25000,1571.92
"E. Split, protected products only",500000,180,50,Openbank,Bank,Apartados Open,0,0.13,30000,1886.3
"E. Split, protected products only",500000,180,50,Mifel,Bank,Cuenta Digital,0,0.1,355000,17069.18
"F. Split, including Mercado Pago",500000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",500000,180,50,Ualá,Bank,On demand (Plus),0,0.15,30000,2182.19
"F. Split, including Mercado Pago",500000,180,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,1818.49
"F. Split, including Mercado Pago",500000,180,50,DiDi,SOFIPO,On demand,0,0.15,10000,727.4
"F. Split, including Mercado Pago",500000,180,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",500000,180,50,Nu,Bank,Cajita Turbo,0,0.13,25000,1571.92
"F. Split, including Mercado Pago",500000,180,50,Openbank,Bank,Apartados Open,0,0.13,30000,1886.3
"F. Split, including Mercado Pago",500000,180,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,1448.63
"F. Split, including Mercado Pago",500000,180,50,Mifel,Bank,Cuenta Digital,0,0.1,305000,14665.07
A. All in Stori on demand (SOFIPO),500000,365,0,Stori,SOFIPO,On demand,0,0.0725,500000,36250.0
B. All in Nu Cajita (bank),500000,365,0,Nu,Bank,Cajita (on demand),0,0.065,500000,32500.0
C. All in CETES (GBM),500000,365,0,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,500000,36200.0
D. All in best SOFIPO fixed term,500000,365,0,Finsus,SOFIPO,Fixed term 365d,365,0.0869,500000,43450.0
"E. Split, protected products only",500000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"E. Split, protected products only",500000,365,0,Ualá,Bank,On demand (Plus),0,0.15,30000,4500.0
"E. Split, protected products only",500000,365,0,DiDi,SOFIPO,On demand,0,0.15,10000,1500.0
"E. Split, protected products only",500000,365,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3750.0
"E. Split, protected products only",500000,365,0,Nu,Bank,Cajita Turbo,0,0.13,25000,3250.0
"E. Split, protected products only",500000,365,0,Openbank,Bank,Apartados Open,0,0.13,30000,3900.0
"E. Split, protected products only",500000,365,0,Mifel,Bank,Cuenta Digital,0,0.1,355000,35500.0
"F. Split, including Mercado Pago",500000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",500000,365,0,Ualá,Bank,On demand (Plus),0,0.15,30000,4500.0
"F. Split, including Mercado Pago",500000,365,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,3750.0
"F. Split, including Mercado Pago",500000,365,0,DiDi,SOFIPO,On demand,0,0.15,10000,1500.0
"F. Split, including Mercado Pago",500000,365,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",500000,365,0,Nu,Bank,Cajita Turbo,0,0.13,25000,3250.0
"F. Split, including Mercado Pago",500000,365,0,Openbank,Bank,Apartados Open,0,0.13,30000,3900.0
"F. Split, including Mercado Pago",500000,365,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,3000.0
"F. Split, including Mercado Pago",500000,365,0,Mifel,Bank,Cuenta Digital,0,0.1,305000,30500.0
A. All in Stori on demand (SOFIPO),500000,365,50,Stori,SOFIPO,On demand,0,0.0725,500000,34366.44
B. All in Nu Cajita (bank),500000,365,50,Nu,Bank,Cajita (on demand),0,0.065,500000,30616.44
C. All in CETES (GBM),500000,365,50,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,500000,36200.0
D. All in best SOFIPO fixed term,500000,365,50,Finsus,SOFIPO,Fixed term 365d,365,0.0869,500000,43450.0
"E. Split, protected products only",500000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"E. Split, protected products only",500000,365,50,Ualá,Bank,On demand (Plus),0,0.15,30000,4386.99
"E. Split, protected products only",500000,365,50,DiDi,SOFIPO,On demand,0,0.15,10000,1462.33
"E. Split, protected products only",500000,365,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3655.82
"E. Split, protected products only",500000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"E. Split, protected products only",500000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"E. Split, protected products only",500000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,355000,34162.67
"F. Split, including Mercado Pago",500000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",500000,365,50,Ualá,Bank,On demand (Plus),0,0.15,30000,4386.99
"F. Split, including Mercado Pago",500000,365,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,3655.82
"F. Split, including Mercado Pago",500000,365,50,DiDi,SOFIPO,On demand,0,0.15,10000,1462.33
"F. Split, including Mercado Pago",500000,365,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",500000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"F. Split, including Mercado Pago",500000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"F. Split, including Mercado Pago",500000,365,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,2905.82
"F. Split, including Mercado Pago",500000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,305000,29351.03
