amount_mxn,equity_share,equity_vehicle,spx_scenario,fx_scenario,savings_mxn,savings_net_mxn,equity_mxn,equity_net_mxn,total_net_mxn,total_net_return,is_default_amount
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,180000.0,23070.0,20000.0,-3103.39,19966.61,0.09983,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),180000.0,23070.0,20000.0,-1413.72,21656.28,0.10828,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),180000.0,23070.0,20000.0,-2109.47,20960.53,0.1048,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,180000.0,23070.0,20000.0,-121.63,22948.37,0.11474,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),180000.0,23070.0,20000.0,1679.59,24749.59,0.12375,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),180000.0,23070.0,20000.0,-678.22,22391.78,0.11196,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,180000.0,23070.0,20000.0,1321.78,24391.78,0.12196,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),180000.0,23070.0,20000.0,3253.95,26323.95,0.13162,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),180000.0,23070.0,20000.0,1321.78,24391.78,0.12196,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,180000.0,23070.0,20000.0,3468.64,26538.64,0.13269,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),180000.0,23070.0,20000.0,5615.5,28685.5,0.14343,yes
200000,0.1,S&P 500 via IVVPESO (peso hedged),Bear,n/a,180000.0,23070.0,20000.0,-2686.46,20383.54,0.10192,yes
200000,0.1,S&P 500 via IVVPESO (peso hedged),Flat,n/a,180000.0,23070.0,20000.0,253.42,23323.42,0.11662,yes
200000,0.1,S&P 500 via IVVPESO (peso hedged),Base,n/a,180000.0,23070.0,20000.0,1678.07,24748.07,0.12374,yes
200000,0.1,S&P 500 via IVVPESO (peso hedged),Bull,n/a,180000.0,23070.0,20000.0,3815.06,26885.06,0.13443,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),150000.0,20340.0,50000.0,-11982.62,8357.38,0.04179,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,150000.0,20340.0,50000.0,-7758.46,12581.54,0.06291,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),150000.0,20340.0,50000.0,-3534.31,16805.69,0.08403,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),150000.0,20340.0,50000.0,-5273.67,15066.33,0.07533,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,150000.0,20340.0,50000.0,-304.07,20035.93,0.10018,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),150000.0,20340.0,50000.0,4198.97,24538.97,0.12269,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),150000.0,20340.0,50000.0,-1695.56,18644.44,0.09322,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,150000.0,20340.0,50000.0,3304.44,23644.44,0.11822,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),150000.0,20340.0,50000.0,8134.88,28474.88,0.14237,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),150000.0,20340.0,50000.0,3304.44,23644.44,0.11822,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,150000.0,20340.0,50000.0,8671.6,29011.6,0.14506,yes
200000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),150000.0,20340.0,50000.0,14038.76,34378.76,0.17189,yes
200000,0.25,S&P 500 via IVVPESO (peso hedged),Bear,n/a,150000.0,20340.0,50000.0,-6716.15,13623.85,0.06812,yes
200000,0.25,S&P 500 via IVVPESO (peso hedged),Flat,n/a,150000.0,20340.0,50000.0,633.54,20973.54,0.10487,yes
200000,0.25,S&P 500 via IVVPESO (peso hedged),Base,n/a,150000.0,20340.0,50000.0,4195.19,24535.19,0.12268,yes
200000,0.25,S&P 500 via IVVPESO (peso hedged),Bull,n/a,150000.0,20340.0,50000.0,9537.65,29877.65,0.14939,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),100000.0,14305.0,100000.0,-23965.23,-9660.23,-0.0483,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,100000.0,14305.0,100000.0,-15516.93,-1211.93,-0.00606,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),100000.0,14305.0,100000.0,-7068.62,7236.38,0.03618,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),100000.0,14305.0,100000.0,-10547.33,3757.67,0.01879,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,100000.0,14305.0,100000.0,-608.15,13696.85,0.06848,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),100000.0,14305.0,100000.0,8397.93,22702.93,0.11351,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),100000.0,14305.0,100000.0,-3391.12,10913.88,0.05457,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,100000.0,14305.0,100000.0,6608.88,20913.88,0.10457,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),100000.0,14305.0,100000.0,16269.77,30574.77,0.15287,yes
